,Titles,Prices,Evaluations,Numbers of evaluators,Urls
0,J'arrête le sucre en 20 jours,"16,50€","4,4",17,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A05489616JY3GVJGFZJG&url=%2FJarr%25C3%25AAte-sucre-en-20-jours%2Fdp%2F2359345486%2Fref%3Dsr_1_49_sspa%3Fdchild%3D1%26keywords%3Dlivre%2Bminceur%26qid%3D1618311655%26sr%3D8-49-spons%26psc%3D1&qualifier=1618311655&id=1100589649723491&widgetName=sp_atf_next
1,La pâtisserie : Place à la gourmandise !,"21,99€","4,1",6,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A02802571SPUIJW4BPP83&url=%2Fp%25C3%25A2tisserie-Place-%25C3%25A0-gourmandise%2Fdp%2F2322252387%2Fref%3Dsr_1_50_sspa%3Fdchild%3D1%26keywords%3Dlivre%2Bminceur%26qid%3D1618311655%26sr%3D8-50-spons%26psc%3D1&qualifier=1618311655&id=1100589649723491&widgetName=sp_atf_next
2,Régime À Faible Teneur En Glucides + Plan De Repas: Plus De 60 Recettes Faciles Pour Perdre Du Poids - Enfin Brûler Les Graisses Et Retrouver La Santé (Low Carb Cookbook French Book),"19,95€","3,9",102,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A09997301W4QRSJGZHTWQ&url=%2FR%25C3%25A9gime-Faible-Teneur-Glucides-Repas%2Fdp%2F177435120X%2Fref%3Dsr_1_51_sspa%3Fdchild%3D1%26keywords%3Dlivre%2Bminceur%26qid%3D1618311655%26sr%3D8-51-spons%26psc%3D1&qualifier=1618311655&id=1100589649723491&widgetName=sp_atf_next
3,Mincir sainement avec le régime Okinawa: Les secrets pour vivre en forme jusqu'à 100 ans et plus - Inclus 21 recettes minceur,"8,99€","3,8",17,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A05700721AVAGC5DVRBS&url=%2FMincir-sainement-avec-r%25C3%25A9gime-Okinawa%2Fdp%2F1533650438%2Fref%3Dsr_1_52_sspa%3Fdchild%3D1%26keywords%3Dlivre%2Bminceur%26qid%3D1618311655%26sr%3D8-52-spons%26psc%3D1&qualifier=1618311655&id=1100589649723491&widgetName=sp_atf_next
4,Dash minceur,"18,00€","4,2",336,https://www.amazon.fr//Dash-minceur-Anne-Dufour/dp/B07XW7DHKV/ref=sr_1_53?dchild=1&keywords=livre+minceur&qid=1618311655&sr=8-53
5,"80 Recettes lights au Cookéo: Gardez la ligne avec ces 80 recettes lights au Cookeo, salées et sucrées. Découvrez-les dès maintenant !","9,89€","4,6",396,https://www.amazon.fr//Recettes-lights-Cook%C3%A9o-D%C3%A9couvrez-maintenant/dp/170038919X/ref=sr_1_54?dchild=1&keywords=livre+minceur&qid=1618311655&sr=8-54
6,Cuisiner light avec thermomix,"29,95€","3,7",17,https://www.amazon.fr//Cuisiner-light-thermomix-B%C3%A9reng%C3%A8re-Abraham/dp/203595486X/ref=sr_1_55?dchild=1&keywords=livre+minceur&qid=1618311655&sr=8-55
7,Bowlfood Minceur - Mes petites recettes à index glycémiques bas,"14,90€","3,8",101,https://www.amazon.fr//Bowlfood-Minceur-petites-recettes-glyc%C3%A9miques/dp/2359344749/ref=sr_1_56?dchild=1&keywords=livre+minceur&qid=1618311655&sr=8-56
8,Petit Livre de - 120 recettes vapeur et minceur,"16,00€","3,7",46,https://www.amazon.fr//Petit-Livre-recettes-vapeur-minceur/dp/2754073787/ref=sr_1_57?dchild=1&keywords=livre+minceur&qid=1618311655&sr=8-57
9,La Grande Cuisine Minceur,"11,90€","3,9",48,https://www.amazon.fr//Grande-Cuisine-Minceur-Michel-GU%C3%89RARD/dp/2221112970/ref=sr_1_58?dchild=1&keywords=livre+minceur&qid=1618311655&sr=8-58
10,52 semaines de minceur : Vos menus pour toute l'année,"7,91€","4,3",47,https://www.amazon.fr//52-semaines-minceur-menus-lann%C3%A9e/dp/2253165611/ref=sr_1_59?dchild=1&keywords=livre+minceur&qid=1618311655&sr=8-59
11,Huiles essentielles spécial minceur: Un programme naturel de 21 jours,"7,95€","3,7",44,https://www.amazon.fr//Huiles-essentielles-sp%C3%A9cial-minceur-programme/dp/2226398694/ref=sr_1_60?dchild=1&keywords=livre+minceur&qid=1618311655&sr=8-60
12,SMOOTHIES POUR PERDRE DU POIDS : 37 RECETTES FACILES POUR PERDRE DU POIDS EN SE FAISANT PLAISIR,"12,00€","4,6",32,https://www.amazon.fr//SMOOTHIES-POUR-PERDRE-DU-POIDS/dp/B086Y4DX76/ref=sr_1_61?dchild=1&keywords=livre+minceur&qid=1618311655&sr=8-61
13,AGENDA MINCEUR 90 Jours: Journal alimentaire et d’activité sportive à compléter pendant 90 jours - Cahier de suivi de régime journalier - journal alimentaire calorique et sportif,"6,95€","4,2",74,https://www.amazon.fr//AGENDA-MINCEUR-Jours-alimentaire-journalier/dp/B08FB17JC3/ref=sr_1_62?dchild=1&keywords=livre+minceur&qid=1618311655&sr=8-62
14,Mes recettes détox super gourmandes,"9,90€","4,4",30,https://www.amazon.fr//Mes-recettes-d%C3%A9tox-super-gourmandes/dp/2360981501/ref=sr_1_63?dchild=1&keywords=livre+minceur&qid=1618311655&sr=8-63
15,Cuisine minceur - super facile,"9,58€","4,2",125,https://www.amazon.fr//Cuisine-minceur-facile-V%C3%A9ronique-LIEGEOIS/dp/2263146482/ref=sr_1_64?dchild=1&keywords=livre+minceur&qid=1618311655&sr=8-64
16,Mon cahier OBJECTIF minceur printemps-été,"11,92€","3,8",79,https://www.amazon.fr//Mon-cahier-OBJECTIF-minceur-printemps-%C3%A9t%C3%A9/dp/2263154833/ref=sr_1_65?dchild=1&keywords=livre+minceur&qid=1618311655&sr=8-65
17,Régime Keto: Découvrez 105 recettes cétogènes délicieuses et inratables !,"16,90€","4,6",1 001,https://www.amazon.fr//R%C3%A9gime-Keto-D%C3%A9couvrez-d%C3%A9licieuses-inratables/dp/B08ZF5SG9C/ref=sr_1_66?dchild=1&keywords=livre+minceur&qid=1618311655&sr=8-66
18,Recettes Weight Watchers: Des recettes faciles simples et équilibrées calculées avec la méthode de points Weight Watchers.,"16,95€","4,4",45,https://www.amazon.fr//Recettes-Weight-Watchers-%C3%A9quilibr%C3%A9es-calcul%C3%A9es/dp/B08CWM86DF/ref=sr_1_67?dchild=1&keywords=livre+minceur&qid=1618311655&sr=8-67
19,Agenda Minceur 365 jours: Agenda minceur et forme pour le suivi de votre régime ou de votre rééquilibrage alimentaire | Cahier minceur à compléter ... 1 an | Carnet alimentaire femme ou homme,"23,00€","4,6",1 032,https://www.amazon.fr//Agenda-Minceur-365-jours-r%C3%A9%C3%A9quilibrage/dp/B091WM9JDF/ref=sr_1_68?dchild=1&keywords=livre+minceur&qid=1618311655&sr=8-68
20,Le grand livre de l'extracteur de jus: 300 recettes pour faire le plein de vitamines,"7,99€","4,2",30,https://www.amazon.fr//grand-livre-lextracteur-jus-vitamines/dp/2035948177/ref=sr_1_69?dchild=1&keywords=livre+minceur&qid=1618311655&sr=8-69
21,Ma bible de la naturopathie - Spécial minceur,"11,90€","4,7",63,https://www.amazon.fr//Ma-bible-naturopathie-sp%C3%A9cial-minceur/dp/B07NHQVDV6/ref=sr_1_70?dchild=1&keywords=livre+minceur&qid=1618311655&sr=8-70
22,Recettes mini budget avec cookeo (Moulinex D&T),"19,95€","3,0",14,https://www.amazon.fr//Recettes-mini-budget-cookeo-Moulinex-ebook/dp/B07MTCSN3S/ref=sr_1_71?dchild=1&keywords=livre+minceur&qid=1618311655&sr=8-71
23,Calendrier 365 recettes légères Marmiton - L'Année à Bloc,"12,50€","3,5",2,https://www.amazon.fr//Ann%C3%A9e-Bloc-recettes-l%C3%A9g%C3%A8res-Marmiton/dp/2809658048/ref=sr_1_72?dchild=1&keywords=livre+minceur&qid=1618311655&sr=8-72
24,Recettes light inratables !,"14,90€","3,7",88,https://www.amazon.fr//Recettes-light-inratables-No%C3%A9mie-Strouk/dp/203593396X/ref=sr_1_73?dchild=1&keywords=livre+minceur&qid=1618311655&sr=8-73
25,Comment perdre 10kg en 14 jours avec le régime Thonon: une méthode efficace et rapide pour perdre du poids,"8,00€","3,9",60,https://www.amazon.fr//Comment-perdre-jours-r%C3%A9gime-Thonon/dp/B089M1H3XC/ref=sr_1_74?dchild=1&keywords=livre+minceur&qid=1618311655&sr=8-74
26,Les soupes minceur,"11,90€","3,8",395,https://www.amazon.fr//soupes-minceur-Philippe-Chavanne/dp/2359345575/ref=sr_1_75?dchild=1&keywords=livre+minceur&qid=1618311655&sr=8-75
27,Régime IG - Perdez 3 kilos dès la première semaine,"6,98€","3,7",30,https://www.amazon.fr//R%C3%A9gime-IG-Perdez-premi%C3%A8re-semaine/dp/2359344765/ref=sr_1_76?dchild=1&keywords=livre+minceur&qid=1618311655&sr=8-76
28,"Jeûne Intermittent: Perdre du poids, améliorer votre santé et vivre longtemps","5,49€","4,4",322,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A0000312SSNNLDGMOADZ&url=%2FJe%25C3%25BBne-Intermittent-Perdre-am%25C3%25A9liorer-longtemps%2Fdp%2FB08DC5VYXK%2Fref%3Dsr_1_77_sspa%3Fdchild%3D1%26keywords%3Dlivre%2Bminceur%26qid%3D1618311655%26sr%3D8-77-spons%26psc%3D1&qualifier=1618311655&id=1100589649723491&widgetName=sp_mtf
29,"Recettes cétogène: 77 recettes délicieuses – Petit-déjeuner, déjeuner, dîner, smoothies, desserts","12,00€","4,5",282,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A016745426KKQ3ON62MXE&url=%2FRecettes-c%25C3%25A9tog%25C3%25A8ne-d%25C3%25A9licieuses-Petit-d%25C3%25A9jeuner-smoothies%2Fdp%2F1975651472%2Fref%3Dsr_1_78_sspa%3Fdchild%3D1%26keywords%3Dlivre%2Bminceur%26qid%3D1618311655%26sr%3D8-78-spons%26psc%3D1&qualifier=1618311655&id=1100589649723491&widgetName=sp_mtf
30,"Pourquoi je mange ?: Méthode minceur Nouvelle édition ! confinement, grignotage, revoir son alimentation et perdre du poids (Pourquoi je mange, méthode minceur t. 1)","9,95€","4,3",356,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A07235621UP6SBQNFN0YD&url=%2FPourquoi-mange-confinement-grignotage-alimentation-ebook%2Fdp%2FB081Z5JPLH%2Fref%3Dsr_1_79_sspa%3Fdchild%3D1%26keywords%3Dlivre%2Bminceur%26qid%3D1618311655%26sr%3D8-79-spons%26psc%3D1&qualifier=1618311655&id=1100589649723491&widgetName=sp_mtf
31,Gâteaux et douceurs à indice glycémique bas,"19,90€","3,5",31,https://www.amazon.fr//G%C3%A2teaux-douceurs-%C3%A0-IG-bas/dp/2360981994/ref=sr_1_80?dchild=1&keywords=livre+minceur&qid=1618311655&sr=8-80
