,Titres,Format Prix,Evaluations (sur 5),Nombre d'évaluations,Liens
0,La bible officielle du cookeo: 200 recettes incontournables pour cuisiner au quotidien,"['Relié 19,95€€']","4,7",3280,https://www.amazon.fr//bible-officielle-cookeo-incontournables-quotidien/dp/2035961025/ref=sr_1_49?dchild=1&keywords=livre+recettes+minceur&qid=1618529736&sr=8-49
1,Recettes équilibrées sans se ruiner avec Cookeo,"['Broché 9,95€€']","4,5",295,https://www.amazon.fr//Recettes-%C3%A9quilibr%C3%A9es-sans-ruiner-Cookeo/dp/2035986257/ref=sr_1_50?dchild=1&keywords=livre+recettes+minceur&qid=1618529736&sr=8-50
2,Les recettes cultes de Big Will,"['Broché 19,90€€']","4,6",524,https://www.amazon.fr//recettes-cultes-Big-Will/dp/2263161279/ref=sr_1_51?dchild=1&keywords=livre+recettes+minceur&qid=1618529736&sr=8-51
3,Mon livre de recettes Poke Bowl | 100 recettes à remplir: Livre de cuisine à compléter,"['Broché 9,50€€']","5,0",1,https://www.amazon.fr//livre-recettes-Poke-Bowl-remplir/dp/B08L41B4X6/ref=sr_1_52?dchild=1&keywords=livre+recettes+minceur&qid=1618529736&sr=8-52
4,LA MÉTHODE 10/10: Ce livre fait perdre 10 kg et vivre 10 ans de plus,"['Format Kindle 9,99€€', 'Broché 24,90€€']","3,7",649,https://www.amazon.fr//M%C3%89THODE-10-livre-perdre-vivre-ebook/dp/B01HIYDRSM/ref=sr_1_53?dchild=1&keywords=livre+recettes+minceur&qid=1618529736&sr=8-53
5,"MES 100 RECETTES GRAINES DE CHIA MINCEUR - A compléter, cuisiner et savourer: Livre de recettes à écrire soi-même I Carnet & Cahier I Idée cadeau I ... I Bypass I gastroplastie I sleeve I mixée","['Broché 9,40€€']",None,None,https://www.amazon.fr//RECETTES-GRAINES-CHIA-MINCEUR-gastroplastie/dp/B08BW8M2RQ/ref=sr_1_54?dchild=1&keywords=livre+recettes+minceur&qid=1618529736&sr=8-54
6,Ma cuisine au robot-cuiseur - 150 recettes faciles et rapides,"['Broché 7,95€€']","4,4",759,https://www.amazon.fr//Ma-cuisine-robot-cuiseur-recettes-faciles/dp/2412028184/ref=sr_1_55?dchild=1&keywords=livre+recettes+minceur&qid=1618529736&sr=8-55
7,Mes petites recettes magiques 100% jus détox,"['Broché 6,00€€', 'Poche 6,00€€', 'Format Kindle 4,99€€']","4,2",392,https://www.amazon.fr//petites-recettes-magiques-100-d%C3%A9tox/dp/B078FFX769/ref=sr_1_56?dchild=1&keywords=livre+recettes+minceur&qid=1618529736&sr=8-56
8,Les secrets de la cuisine à indice glycémique bas,"['Broché 22,00€€']","4,4",214,https://www.amazon.fr//secrets-cuisine-IG-bas-silhouette/dp/2360982435/ref=sr_1_57?dchild=1&keywords=livre+recettes+minceur&qid=1618529736&sr=8-57
9,Recettes light inratables !,"['Relié 19,95€€', 'Format Kindle 14,99€€']","4,7",63,https://www.amazon.fr//Recettes-light-inratables-No%C3%A9mie-Strouk/dp/203593396X/ref=sr_1_58?dchild=1&keywords=livre+recettes+minceur&qid=1618529736&sr=8-58
