,Titres,Format Prix,Evaluations (sur 5),Nombre d'évaluations,Liens
0,Plats sains préparés en moins de 10 minutes - super facile,"['Broché 6,95€€']","4,4",133,https://www.amazon.fr//Plats-sains-pr%C3%A9par%C3%A9s-moins-minutes/dp/2263159983/ref=sr_1_49?dchild=1&keywords=livre+recettes+minceur&qid=1618574877&sr=8-49
1,Aliments à calories négatives & autres ingrédients minceur,"['Broché 9,95€€']","4,3",42,https://www.amazon.fr//Aliments-calories-n%C3%A9gatives-ingr%C3%A9dients-minceur/dp/2035945143/ref=sr_1_50?dchild=1&keywords=livre+recettes+minceur&qid=1618574877&sr=8-50
2,Mes recettes healthy #2: BAM ! 80 recettes fitfightforever pour te transformer,"['Format Kindle 10,99€€', 'Broché 15,90€€']","4,7",2018,https://www.amazon.fr//Mes-recettes-healthy-fitfightforever-transformer/dp/250115455X/ref=sr_1_51?dchild=1&keywords=livre+recettes+minceur&qid=1618574877&sr=8-51
3,Recettes mini budget avec cookeo (Moulinex D&T),"['Broché 9,95€€', 'Format Kindle 7,99€€']","4,6",1043,https://www.amazon.fr//Recettes-mini-budget-cookeo-Moulinex-ebook/dp/B07MTCSN3S/ref=sr_1_52?dchild=1&keywords=livre+recettes+minceur&qid=1618574877&sr=8-52
4,"100 bowls minceur: Recettes à moins de 300, 400 ou 600 calories pour construire votre propre programme minceur","['Broché 16,21€€']","4,4",19,https://www.amazon.fr//100-bowls-minceur-construire-programme/dp/2501122046/ref=sr_1_54?dchild=1&keywords=livre+recettes+minceur&qid=1618574877&sr=8-54
5,Cuisiner light avec thermomix,"['Format Kindle 28,99€€', 'Relié 29,95€€']","4,6",397,https://www.amazon.fr//Cuisiner-light-thermomix-B%C3%A9reng%C3%A8re-Abraham/dp/203595486X/ref=sr_1_55?dchild=1&keywords=livre+recettes+minceur&qid=1618574877&sr=8-55
6,Mon Régime Paléo: 4 semaines de recettes pour découvrir le régime Paléo,"['Broché 14,66€€', 'Format Kindle 5,33€€']","4,1",22,https://www.amazon.fr//Mon-R%C3%A9gime-Pal%C3%A9o-semaines-d%C3%A9couvrir/dp/1537643452/ref=sr_1_56?dchild=1&keywords=livre+recettes+minceur&qid=1618574877&sr=8-56
7,Mes petits bowl cakes minceur,"['Relié 12,90€€']","4,6",214,https://www.amazon.fr//Mes-petits-bowl-cakes-minceur/dp/2035987350/ref=sr_1_57?dchild=1&keywords=livre+recettes+minceur&qid=1618574877&sr=8-57
8,"Régime Charge Glycémique, Régime Express IG: La méthode ultra efficace pour perdre 10 kg et vivre 10 ans de plus ! Guide des index glycémiques + 39 Recettes IG bas ; Manger mieux pour vivre mieux !","['Broché 8,99€€', 'Format Kindle 3,99€€']","3,2",8,https://www.amazon.fr//R%C3%A9gime-Charge-Glyc%C3%A9mique-Express-glyc%C3%A9miques/dp/B089249D2L/ref=sr_1_58?dchild=1&keywords=livre+recettes+minceur&qid=1618574877&sr=8-58
9,Plats du soir avec cookeo,"['Broché 9,95€€', 'Format Kindle 7,99€€']","4,5",282,https://www.amazon.fr//Plats-du-soir-avec-cookeo/dp/2295008891/ref=sr_1_59?dchild=1&keywords=livre+recettes+minceur&qid=1618574877&sr=8-59
10,Dash minceur,"['Broché 18,00€€']","3,8",17,https://www.amazon.fr//Dash-minceur-Anne-Dufour/dp/B07XW7DHKV/ref=sr_1_60?dchild=1&keywords=livre+recettes+minceur&qid=1618574877&sr=8-60
11,Companion recettes légères,"['Broché 9,95€€', 'Format Kindle 7,99€€']","4,5",354,https://www.amazon.fr//Companion-recettes-l%C3%A9g%C3%A8res-Coralie-Ferreira/dp/2035961122/ref=sr_1_61?dchild=1&keywords=livre+recettes+minceur&qid=1618574877&sr=8-61
12,Mincir sainement avec le régime Okinawa: Les secrets pour vivre en forme jusqu'à 100 ans et plus - Inclus 21 recettes minceur,"['Format Kindle 4,99€€', 'Broché 8,99€€']","3,9",104,https://www.amazon.fr//Mincir-sainement-avec-r%C3%A9gime-Okinawa/dp/1533650438/ref=sr_1_62?dchild=1&keywords=livre+recettes+minceur&qid=1618574877&sr=8-62
13,La bible officielle du cookeo: 200 recettes incontournables pour cuisiner au quotidien,"['Relié 19,95€€']","4,7",3281,https://www.amazon.fr//bible-officielle-cookeo-incontournables-quotidien/dp/2035961025/ref=sr_1_63?dchild=1&keywords=livre+recettes+minceur&qid=1618574877&sr=8-63
14,Simplissime desserts: Le livre de desserts les + faciles du monde,"['Format Kindle 10,99€€', 'Relié 14,95€€']","4,5",522,https://www.amazon.fr//Simplissime-desserts-livre-faciles-monde/dp/2011356431/ref=sr_1_64?dchild=1&keywords=livre+recettes+minceur&qid=1618574877&sr=8-64
15,Les Recettes du régime IG,"['Format Kindle 9,99€€', 'Broché 14,90€€']","4,2",93,https://www.amazon.fr//Recettes-du-r%C3%A9gime-IG/dp/2365490956/ref=sr_1_65?dchild=1&keywords=livre+recettes+minceur&qid=1618574877&sr=8-65
